Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q73_1,Q73_2,Q73_3,Q73_4,Q73_5,Q73_6,Q73_7,Q73_8,Q73_9,Q74_1,Q74_2,Q74_3,Q74_4,Q74_5,Q74_6,Q74_7,Q74_8,Q74_9,Q75_1,Q75_2,Q75_3,Q75_4,Q75_5,Q75_6,Q75_7,Q75_8,Q75_9,Q76_1,Q76_2,Q76_3,Q76_4,Q76_5,Q76_6,Q76_7,Q76_8,Q76_9,Q77_1,Q77_2,Q77_3,Q77_4,Q77_5,Q77_6,Q77_7,Q77_8,Q77_9,Q78_1,Q78_2,Q78_3,Q78_4,Q78_5,Q78_6,Q78_7,Q78_8
Gender,Ethnicity,Relationship,Education,CityPop,Religion,Age,FamilyMembers,Siblings,supportsnoreturn,they feel accepted.,they make up after a fight.,they are hugged.,somebody confides in them.,they feel connected to God.,they play sports.,the sun is shining.,someone tells them what is best for them.,they feel appreciated.,they win on the lottery.,they feel part of a team.,someone understands them.,someone is sexually attracted to them.,they get gifts.,they spend time with their child(ren).,someone helps them.,someone follows up to ask how a problem turned out.,they make love.,someone cares for them.,someone forgives them for something they did wrong.,their pets are happy to see them.,"they attend a religious ceremony (e.g., church, temple, synagogue, / mosque).",they attend sporting events of their favorite team.,they solve a difficult problem.,someone else wants to know where they are at all times.,they are made to feel special.,someone can immediately tell what is on their mind.,someone does something nice for them unexpectedly.,someone is supportive of their / life goals.,a child snuggles up to them.,they are included in activities.,they go out for a walk.,they receive a compliment.,someone is insisting to spend all of their time with them.,they are told that they are loved.,someone shows compassion towards them in difficult  times.,someone celebrates their accomplishments.,they spend quality time with someone.,they feel completely comfortable around someone.,they hear or sing their country's national anthem.,they eat their favorite food.,someone is possessive about them. ,someone is polite to them.,they can share their opinions without being judged.,they experience an act of kindness.,they spend time with their friends.,they are the recipient of physical affection.,they feel close to nature.,a group recognizes their contribution.,they get a good nights sleep.,someone tries to change their behavior to be healthier.,they are recipients of gratitude.,someone supports them without expecting anything in return.,they feel accepted.,The following statements describe /  possible situations in which people might feel loved. We would...-they make up after a fight.,The following statements describe /  possible situations in which people might feel loved. We would...-they are hugged.,The following statements describe /  possible situations in which people might feel loved. We would...-somebody confides in them.,The following statements describe /  possible situations in which people might feel loved. We would...-they feel connected to God.,The following statements describe /  possible situations in which people might feel loved. We would...-they play sports.,The following statements describe /  possible situations in which people might feel loved. We would...-the sun is shining.,The following statements describe /  possible situations in which people might feel loved. We would...-someone tells them what is best for them.,The following statements describe /  possible situations in which people might feel loved. We would...-they feel appreciated.,The following statements describe /  possible situations in which people might feel loved. We would...-they win on the lottery.,The following statements describe /  possible situations in which people might feel loved. We would...-they feel part of a team.,The following statements describe /  possible situations in which people might feel loved. We would...-someone understands them.,The following statements describe /  possible situations in which people might feel loved. We would...-someone is sexually attracted to them.,The following statements describe /  possible situations in which people might feel loved. We would...-they get gifts.,The following statements describe /  possible situations in which people might feel loved. We would...-they spend time with their child(ren).,The following statements describe /  possible situations in which people might feel loved. We would...-someone helps them.,The following statements describe /  possible situations in which people might feel loved. We would...-someone follows up to ask how a problem turned out.,The following statements describe /  possible situations in which people might feel loved. We would...-they make love.,The following statements describe /  possible situations in which people might feel loved. We would...-someone cares for them.,The following statements describe /  possible situations in which people might feel loved. We would...-someone forgives them for something they did wrong.,The following statements describe /  possible situations in which people might feel loved. We would...-their pets are happy to see them.,"The following statements describe /  possible situations in which people might feel loved. We would...-they attend a religious ceremony (e.g., church, temple, synagogue, mosque).",The following statements describe /  possible situations in which people might feel loved. We would...-they attend sporting events of their favorite team.,The following statements describe /  possible situations in which people might feel loved. We would...-they solve a difficult problem.,The following statements describe /  possible situations in which people might feel loved. We would...-someone else wants to know where they are at all times.,The following statements describe /  possible situations in which people might feel loved. We would...-they are made to feel special.,The following statements describe /  possible situations in which people might feel loved. We would...-someone can immediately tell what is on their mind.,The following statements describe /  possible situations in which people might feel loved. We would...-someone does something nice for them unexpectedly.,The following statements describe /  possible situations in which people might feel loved. We would...-someone is supportive of their life goals.,The following statements describe /  possible situations in which people might feel loved. We would...-a child snuggles up to them.,The following statements describe /  possible situations in which people might feel loved. We would...-they are included in activities.,The following statements describe /  possible situations in which people might feel loved. We would...-they go out for a walk.,The following statements describe /  possible situations in which people might feel loved. We would...-they receive a compliment.,The following statements describe /  possible situations in which people might feel loved. We would...-someone is insisting to spend all of their time with them.,The following statements describe /  possible situations in which people might feel loved. We would...-they are told that they are loved.,The following statements describe /  possible situations in which people might feel loved. We would...-someone shows compassion towards them in difficult times.,The following statements describe /  possible situations in which people might feel loved. We would...-someone celebrates their accomplishments.,The following statements describe /  possible situations in which people might feel loved. We would...-they spend quality time with someone.,The following statements describe /  possible situations in which people might feel loved. We would...-they feel completely comfortable around someone.,The following statements describe /  possible situations in which people might feel loved. We would...-they hear or sing their country's national anthem.,The following statements describe /  possible situations in which people might feel loved. We would...-they eat their favorite food.,The following statements describe /  possible situations in which people might feel loved. We would...-someone is possessive about them.,The following statements describe /  possible situations in which people might feel loved. We would...-someone is polite to them.,The following statements describe /  possible situations in which people might feel loved. We would...-they can share their opinions without being judged.,The following statements describe /  possible situations in which people might feel loved. We would...-they experience an act of kindness.,The following statements describe /  possible situations in which people might feel loved. We would...-they spend time with their friends.,The following statements describe /  possible situations in which people might feel loved. We would...-they are the recipient of physical affection.,The following statements describe /  possible situations in which people might feel loved. We would...-they feel close to nature.,The following statements describe /  possible situations in which people might feel loved. We would...-a group recognizes their contribution.,The following statements describe /  possible situations in which people might feel loved. We would...-they get a good nights sleep.,The following statements describe /  possible situations in which people might feel loved. We would...-someone tries to change their behavior to be healthier.,The following statements describe /  possible situations in which people might feel loved. We would...-they are recipients of gratitude.
2,1,6,4,1,1,27,2,3,1,1,1,1,1,1,2,3,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,2,2,3,1,1,1,1,3,1,2,2,1,96,94,68,89,80,63,33,45,36,94,53,55,67,77,80,88,73,79,100,90,83,76,68,36,54,53,99,60,74,83,84,68,42,86,59,100,83,66,95,73,31,50,8,50,88,77,73,80,52,58,50,44,90
2,1,1,2,2,2,36,4,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,80,92,71,99,92,62,1,8,84,100,81,80,99,87,100,91,88,98,98,96,89,86,58,32,16,84,95,85,94,100,87,86,3,100,100,99,99,100,100,80,14,59,86,99,95,87,90,100,10,100,9,71,99
2,4,6,5,3,1,30,0,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,60,64,71,80,63,78,18,20,38,67,32,41,60,91,60,83,57,50,78,86,57,90,50,24,25,56,72,63,71,82,85,70,14,61,59,95,68,65,59,85,43,16,45,59,72,76,70,72,38,48,8,49,63
2,1,1,3,3,1,29,2,3,1,1,1,1,1,3,3,1,3,1,2,1,1,3,1,1,1,1,1,1,1,1,3,3,2,3,1,3,1,1,1,1,2,1,3,2,1,1,1,1,3,2,2,3,1,1,1,1,3,1,2,2,1,92,87,91,84,56,-99,14,50,20,96,25,67,87,54,81,83,86,78,81,87,77,85,47,22,0,60,95,61,86,53,83,69,17,59,26,94,92,83,74,72,45,18,10,55,68,90,69,92,47,52,7,20,80
1,1,8,2,2,1,24,3,0,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,83,81,78,80,82,77,48,67,78,75,69,67,76,59,69,63,69,67,63,71,68,73,73,63,78,62,73,72,70,68,84,77,48,74,80,76,70,72,71,73,75,76,74,62,61,69,83,74,60,70,67,75,73
1,1,1,4,3,1,42,4,1,1,1,1,1,1,3,2,2,2,1,2,2,1,2,2,1,1,2,1,1,1,1,3,2,2,2,1,3,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,3,1,2,2,1,96,87,57,88,64,50,2,50,16,83,11,25,77,79,42,98,61,57,68,84,58,86,-99,9,28,18,80,50,91,87,96,40,44,59,39,100,78,56,74,89,14,9,13,50,73,79,59,72,-99,53,2,16,82
2,1,8,2,2,3,21,0,2,1,1,2,1,1,1,2,2,2,1,2,1,1,1,1,3,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,89,91,53,57,80,86,49,53,43,72,36,72,76,79,67,53,62,77,80,79,71,82,54,48,44,42,81,56,57,70,77,70,53,65,44,60,84,76,73,80,46,43,49,66,93,72,76,69,52,83,47,37,63
2,1,8,4,2,1,38,0,2,1,1,1,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,63,80,61,79,53,63,14,19,27,91,18,78,91,38,91,88,90,63,75,80,91,89,55,27,21,27,71,77,85,91,78,81,34,79,57,96,91,79,92,83,44,18,13,48,95,73,64,74,53,64,23,55,70
1,1,1,2,1,1,44,3,3,1,1,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,2,1,1,75,60,65,86,25,78,1,23,5,74,1,40,77,58,52,84,61,49,84,93,95,78,12,1,3,44,75,67,86,82,96,56,0,70,61,72,90,82,85,83,78,0,57,63,69,70,56,75,27,43,1,65,57
